winner,f1,f2,f4mw,f4e,f4s,f4w,EV,n
Baylor,Gonzaga,Baylor,Tennessee,Michigan,Baylor,Gonzaga,0.10000000000000091,14.0
Gonzaga,Gonzaga,Illinois,Illinois,Michigan,Baylor,Gonzaga,0.08466819221967975,437.0
Gonzaga,Gonzaga,Illinois,Illinois,Texas,Ohio State,Gonzaga,0.07741935483870957,124.0
Michigan,Michigan,Houston,Houston,Michigan,Baylor,Iowa,0.042857142857142705,14.0
Illinois,Michigan,Illinois,Illinois,Michigan,Baylor,Kansas,-2.220446049250313e-16,24.0
Gonzaga,Gonzaga,Illinois,Illinois,Brigham Young,Ohio State,Gonzaga,-0.016666666666667496,12.0
Michigan,Michigan,Baylor,Houston,Michigan,Baylor,Iowa,-0.07619047619047559,21.0
Illinois,Gonzaga,Illinois,Illinois,Texas,Purdue,Gonzaga,-0.21111111111111105,18.0
Texas,Texas,Illinois,Illinois,Texas,Baylor,Gonzaga,-0.22962962962963007,27.0
West Virginia,Gonzaga,West Virginia,West Virginia,Michigan,Ohio State,Gonzaga,-0.28888888888888925,18.0
Gonzaga,Gonzaga,Baylor,Houston,Brigham Young,Baylor,Gonzaga,-0.4333333333333334,12.0
Gonzaga,Gonzaga,Ohio State,West Virginia,Florida State,Ohio State,Gonzaga,-0.45333333333333314,15.0
Gonzaga,Gonzaga,Illinois,Illinois,Alabama,Arkansas,Gonzaga,-0.5463414634146343,41.0
Baylor,Michigan,Baylor,West Virginia,Michigan,Baylor,Gonzaga,-0.7411764705882354,17.0
Michigan,Michigan,Houston,Houston,Michigan,Ohio State,Gonzaga,-0.7499999999999996,16.0
Gonzaga,Gonzaga,West Virginia,West Virginia,Texas,Baylor,Gonzaga,-0.82,20.0
Gonzaga,Gonzaga,Baylor,San Diego State,Michigan,Baylor,Gonzaga,-0.8476190476190484,21.0
Virginia,Virginia,Baylor,Illinois,Michigan,Baylor,Virginia,-0.8666666666666667,24.0
Iowa,Iowa,Baylor,Oklahoma State,Michigan,Baylor,Iowa,-0.9,12.0
Illinois,Michigan,Illinois,Illinois,Michigan,Villanova,Gonzaga,-0.9230769230769227,13.0
Michigan,Michigan,West Virginia,West Virginia,Michigan,Baylor,Gonzaga,-0.9285714285714283,14.0
Gonzaga,Gonzaga,Villanova,Houston,Michigan,Villanova,Gonzaga,-1.2,17.0
Michigan,Michigan,Houston,Houston,Michigan,Ohio State,Iowa,-1.3285714285714287,14.0
Baylor,Gonzaga,Baylor,West Virginia,Michigan,Baylor,Gonzaga,-1.371428571428572,49.0
Illinois,Gonzaga,Illinois,Illinois,Michigan,Arkansas,Gonzaga,-1.4606060606060598,33.0
Gonzaga,Gonzaga,Baylor,Illinois,Texas,Baylor,Gonzaga,-1.4866995073891618,203.0
Texas,Texas,Baylor,Illinois,Texas,Baylor,Iowa,-1.5818181818181811,11.0
Gonzaga,Gonzaga,Baylor,Illinois,Connecticut,Baylor,Gonzaga,-1.7703703703703708,27.0
Gonzaga,Gonzaga,Ohio State,West Virginia,Michigan,Ohio State,Gonzaga,-1.785185185185185,54.0
Gonzaga,Gonzaga,Baylor,Tennessee,Texas,Baylor,Gonzaga,-1.9124999999999999,16.0
Michigan,Michigan,Ohio State,Illinois,Michigan,Ohio State,Iowa,-1.9333333333333336,18.0
