pool_id,bracket_id,Win Frequency,Cash Frequency,EV,1sigma,f4w,f4e,f4mw,f4s,f1,f2,winner
84,4,0.0,0.01,0.0,6.0,Gonzaga,Mount St. Mary's,Drexel,Ohio State,Mount St. Mary's,Ohio State,Mount St. Mary's
84,20,0.0,0.01,0.0,7.0,Kansas,Maryland,Illinois,North Texas,Kansas,North Texas,North Texas
85,12,0.2,0.54,45.0,57.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Illinois,Gonzaga
85,14,0.07,0.33,21.0,41.0,Gonzaga,Alabama,Illinois,Baylor,Gonzaga,Baylor,Baylor
85,6,0.07,0.33,21.0,41.0,Gonzaga,Michigan,Illinois,Baylor,Gonzaga,Baylor,Gonzaga
85,22,0.08,0.27,20.0,43.0,Gonzaga,Alabama,Houston,Ohio State,Gonzaga,Houston,Gonzaga
85,20,0.09,0.23,20.0,45.0,Iowa,Alabama,Illinois,Baylor,Iowa,Illinois,Iowa
85,15,0.07,0.3,19.0,40.0,Gonzaga,Alabama,Illinois,Villanova,Gonzaga,Illinois,Gonzaga
85,2,0.06,0.2,15.0,39.0,Kansas,Michigan,Illinois,Baylor,Kansas,Illinois,Illinois
85,0,0.05,0.2,14.0,36.0,Gonzaga,Alabama,West Virginia,Baylor,Alabama,Baylor,Baylor
85,23,0.04,0.23,13.0,33.0,Gonzaga,Alabama,Oklahoma State,Baylor,Gonzaga,Baylor,Baylor
85,13,0.03,0.16,9.0,28.0,Gonzaga,Texas,Illinois,Ohio State,Texas,Illinois,Texas
85,4,0.04,0.13,9.0,31.0,Iowa,Texas,Illinois,Baylor,Iowa,Baylor,Baylor
85,8,0.03,0.11,8.0,30.0,Creighton,Michigan,Illinois,Baylor,Michigan,Baylor,Michigan
85,19,0.03,0.15,8.0,27.0,Gonzaga,Texas,Illinois,Baylor,Gonzaga,Baylor,Gonzaga
85,10,0.02,0.17,8.0,24.0,Gonzaga,Texas,Illinois,Ohio State,Gonzaga,Illinois,Gonzaga
